start_station_id,lat,lng,bike_lane_length_500m,park_area_500m,university_count_1000m,office_poi_count_1000m,retail_poi_count_1000m,restaurant_cafe_count_500m,transit_stop_count_500m,distance_to_nearest_rail_station,distance_to_city_center
3005.0,34.0485,-118.258537,10089.307791714826,17994.239475791892,6.0,51.0,161.0,112.0,76.0,25.9,1427.5
3006.0,34.04554,-118.256668,11292.85021413022,26761.517129372933,4.0,62.0,184.0,133.0,102.0,395.4,1405.7
3007.0,34.05048,-118.254593,7860.184698950621,51199.597420535705,5.0,62.0,177.0,128.0,96.0,343.6,1021.6
3008.0,34.046612,-118.262733,7353.048603773355,13540.673945991088,5.0,45.0,99.0,62.0,58.0,432.6,1860.4
3010.0,34.037048,-118.254868,1232.8819943681942,0.0,3.0,27.0,104.0,17.0,37.0,1116.2,1974.2
3011.0,34.041569,-118.267349,2234.56222138609,8447.395732395082,5.0,13.0,40.0,19.0,28.0,170.6,2552.3
3014.0,34.05661,-118.237213,12004.415685947297,16220.354418042454,0.0,46.0,109.0,30.0,98.0,106.9,773.1
3016.0,34.052898,-118.241562,21104.454918397973,51987.04449287722,1.0,53.0,160.0,51.0,70.0,467.6,211.7
3018.0,34.043732,-118.260139,8291.507718836427,14632.202921603975,3.0,46.0,154.0,84.0,61.0,561.4,1783.4
3019.0,34.038609,-118.260857,4895.80974573019,1091.5289756128882,4.0,29.0,97.0,23.0,54.0,543.0,2186.9
3020.0,34.031052,-118.26709,3101.2678496549565,3450.346497786667,2.0,19.0,40.0,2.0,53.0,302.9,3189.7
3022.0,34.04607,-118.233093,6333.308717839373,0.0,2.0,30.0,73.0,20.0,12.0,586.1,1191.5
3024.0,34.05772,-118.24897,7973.595429103816,51766.74745017323,1.0,30.0,70.0,15.0,54.0,380.4,782.6
3025.0,34.03286,-118.268082,2887.2977067499223,4621.598944961537,2.0,19.0,41.0,3.0,57.0,110.3,3109.9
3026.0,34.063179,-118.24588,1753.920474551194,7584.406576636948,0.0,29.0,77.0,8.0,20.0,918.7,1237.2
3027.0,34.04998,-118.247162,15178.393962740756,48422.4800206818,2.0,69.0,203.0,106.0,80.0,239.7,403.3
