start_station_id,lat,lng,bike_lane_length_500m,park_area_500m,university_count_1000m,office_poi_count_1000m,retail_poi_count_1000m,restaurant_cafe_count_500m,transit_stop_count_500m,distance_to_nearest_rail_station,distance_to_city_center
959,51.507244,-0.106237,6360.9,47803.4,5,90,302,67,34,363.4,1492.5
960,51.504627,-0.091773,5235.3,30596.5,3,89,302,156,42,230.6,2512.5
961,51.503688,-0.098497,7742.5,35264.3,8,62,296,115,30,450.0,2069.7
962,51.505569,-0.111606,4779.3,63226.6,5,81,314,116,81,280.1,1139.1
963,51.505817,-0.100186,6760.4,35488.6,9,94,416,93,35,393.0,1919.3
964,51.525893,-0.090847,4738.6,64524.1,9,178,417,86,28,226.6,3281.2
965,51.492111,-0.138364,1378.7,79969.6,1,95,396,89,35,390.3,1850.7
966,51.494436,-0.092921,7667.4,102537.5,4,32,279,44,30,404.9,2811.9
967,51.521747,-0.094475,2520.9,99140.9,9,209,580,98,36,337.3,2804.1
968,51.497998,-0.14296,2569.4,199122.0,0,121,377,109,65,181.8,1481.2
969,51.525227,-0.135188,10177.1,30539.2,49,126,565,114,59,57.6,2047.1
970,51.519914,-0.136039,9093.5,25261.6,49,214,1439,278,13,139.3,1503.8
971,51.512484,-0.099141,10328.4,37582.0,4,169,500,156,54,279.9,2062.3
972,51.525542,-0.138231,5923.7,23784.7,48,126,468,104,51,94.0,2142.5
973,51.523648,-0.074754,4258.5,46319.2,5,143,837,209,28,48.2,4091.2
974,51.523346,-0.120202,6314.7,153418.5,51,133,632,144,29,283.0,1849.4
975,51.520596,-0.116688,5904.1,110876.2,26,180,700,157,49,435.2,1656.6
976,51.525595,-0.144083,2035.1,269178.9,27,100,456,73,28,199.8,2315.8
978,51.523418,-0.124121,5095.6,164746.7,54,148,753,131,18,41.6,1799.2
979,51.530991,-0.093903,1789.7,38514.0,4,78,473,22,20,739.4,3518.8
980,51.52168,-0.130431,12379.7,79865.7,52,203,1096,178,24,297.9,1598.3
981,51.51908,-0.124678,8498.7,80314.8,55,187,1301,241,53,387.7,1316.6
982,51.51795,-0.108657,8818.1,47002.0,8,220,564,147,53,217.1,1769.5
983,51.526236,-0.134407,8991.8,24530.2,49,115,529,115,62,101.3,2143.8
984,51.517075,-0.086685,4259.4,39933.1,10,193,779,168,86,65.9,3041.8
985,51.518825,-0.108028,8783.7,40974.2,7,222,567,142,49,269.3,1867.1
986,51.526717,-0.104298,3670.4,90394.9,7,151,642,98,38,653.2,2694.1
988,51.517727,-0.127854,9655.8,76749.2,53,207,1622,346,39,268.7,1148.3
989,51.53089,-0.089782,2781.5,95384.5,4,95,296,25,32,604.5,3707.0
990,51.490757,-0.106323,2840.5,61068.6,4,32,213,21,24,276.6,2373.8
991,51.511594,-0.077121,8209.4,49247.2,6,132,713,178,38,36.1,3538.2
992,51.52836,-0.104724,4761.4,93697.0,8,134,585,78,38,468.1,2825.1
993,51.527326,-0.136052,5046.4,33105.3,47,98,477,96,62,185.1,2288.1
994,51.500647,-0.0786,4655.9,75428.9,3,31,240,85,37,654.3,3487.2
995,51.514499,-0.141423,1802.2,12385.8,6,240,2250,353,43,111.2,1229.6
996,51.500694,-0.094524,4892.4,76142.4,6,55,306,63,32,99.1,2420.9
997,51.521668,-0.079608,4227.9,15559.3,10,178,828,257,60,398.0,3693.0
998,51.49288,-0.114934,4209.1,143934.7,2,44,178,16,31,703.3,1843.9
999,51.511553,-0.09294,9740.3,27062.1,6,151,569,141,52,162.9,2456.3
1000,51.485917,-0.124469,7830.8,94148.8,0,38,190,33,44,29.1,2399.9
1001,51.493724,-0.198286,2044.5,44209.3,0,54,386,47,22,384.5,5110.5
1002,51.497056,-0.168917,404.8,97789.2,4,79,746,105,24,431.8,3069.6
1003,51.515308,-0.147203,1396.3,24413.2,0,213,1908,248,46,197.4,1605.1
1004,51.528833,-0.13225,6898.9,31664.2,45,75,502,105,64,128.1,2403.0
1005,51.533005,-0.136792,7246.1,48616.6,7,51,461,47,46,148.1,2914.3
1006,51.51863,-0.132676,10048.1,29398.2,50,223,1705,305,26,248.1,1293.5
1007,51.51477,-0.122219,7481.4,46852.4,24,194,1292,445,49,234.6,906.0
1008,51.521661,-0.109006,7287.2,54522.8,9,191,563,159,57,362.1,2050.8
1009,51.52505,-0.131161,11559.1,48010.5,50,126,655,128,42,314.1,1976.3
1010,51.526357,-0.125979,8423.6,109942.8,54,94,551,132,40,386.6,2111.7
1011,51.529416,-0.123944,8169.2,39967.8,40,54,475,161,59,132.7,2462.6
1012,51.521283,-0.084605,4404.0,69220.7,10,193,870,167,74,406.8,3364.1
1013,51.530059,-0.120973,7356.3,47642.9,21,57,543,143,62,215.4,2563.5
1015,51.507385,-0.09644,8401.9,15005.8,3,115,477,133,26,508.6,2170.4
1016,51.513735,-0.193487,736.7,24824.7,2,60,655,121,27,389.6,4600.1
1017,51.497382,-0.089446,6658.7,85531.5,6,46,315,21,22,496.6,2879.0
1018,51.499606,-0.197574,2908.0,159845.6,1,64,425,64,22,387.2,4906.6
1019,51.52728,-0.118295,6685.0,120803.2,21,87,557,77,36,539.6,2306.3
1020,51.524696,-0.084439,6294.1,72577.8,8,156,702,166,36,243.3,3563.9
1022,51.523951,-0.122502,5893.3,161803.9,55,123,645,128,24,157.3,1876.5
1023,51.529163,-0.10997,4337.6,81906.9,6,110,591,105,51,459.7,2716.3
1024,51.505974,-0.092754,6311.5,23472.5,4,98,451,151,42,288.4,2430.7
1025,51.523518,-0.143613,3055.5,140088.7,35,148,791,93,24,33.6,2099.9
1026,51.522954,-0.094934,2185.4,92051.7,9,212,497,94,30,401.5,2857.2
